calories,heart_rate,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,temperature,altitude,ascent,descent,enhanced_altitude,grade
2,95,2023-04-06 16:56:38,,59.76,3.827,13.0,438135480.0,-52900221.0,3.827,18.0,,,,,
2,93,2023-04-06 16:56:39,,62.91,3.782,14.0,438135558.0,-52900634.0,3.782,18.0,,,,,
2,96,2023-04-06 16:56:40,,65.62,3.507,14.0,438135558.0,-52900995.0,3.507,18.0,,,,,
2,98,2023-04-06 16:56:41,,68.04,3.231,14.0,438135593.0,-52901309.0,3.231,18.0,,,,,
3,101,2023-04-06 16:56:42,,70.92,3.015,14.0,438135806.0,-52901585.0,3.015,18.0,,,,,
3,99,2023-04-06 16:56:43,,75.04,2.994,13.0,438136207.0,-52901729.0,2.994,18.0,,,,,
3,99,2023-04-06 16:56:44,,79.8,4.081,13.0,438136735.0,-52901706.0,4.081,18.0,,,,,
3,98,2023-04-06 16:56:45,,84.02,4.214,13.0,438137163.0,-52901587.0,4.214,18.0,,,,,
3,99,2023-04-06 16:56:46,,88.69,4.394,13.0,438137655.0,-52901410.0,4.394,18.0,,,,,
3,101,2023-04-06 16:56:47,,94.2,4.42,13.0,438138219.0,-52901278.0,4.42,18.0,,,,,
3,102,2023-04-06 16:56:48,,98.05,4.364,13.0,438138640.0,-52901197.0,4.364,18.0,,,,,
3,102,2023-04-06 16:56:49,,101.97,4.068,12.0,438139067.0,-52901135.0,4.068,18.0,,,,,
4,104,2023-04-06 16:56:50,,105.43,3.891,12.0,438139406.0,-52901162.0,3.891,18.0,21.399999999999977,0.0,0.0,21.399999999999977,0.0
4,102,2023-04-06 16:56:51,,109.0,3.332,12.0,438139796.0,-52901190.0,3.332,18.0,21.399999999999977,0.0,0.0,21.399999999999977,0.0
4,101,2023-04-06 16:56:52,,114.27,3.342,12.0,438140370.0,-52901145.0,3.342,18.0,21.399999999999977,0.0,0.0,21.399999999999977,0.0
4,102,2023-04-06 16:56:53,,118.28,3.889,12.0,438140780.0,-52900996.0,3.889,18.0,21.399999999999977,0.0,0.0,21.399999999999977,0.0
4,101,2023-04-06 16:56:54,,122.46,4.19,13.0,438141208.0,-52900783.0,4.19,18.0,21.600000000000023,0.0,0.0,21.600000000000023,0.0
4,103,2023-04-06 16:56:55,,125.96,4.113,13.0,438141535.0,-52900586.0,4.113,18.0,21.600000000000023,0.0,0.0,21.600000000000023,0.26
4,105,2023-04-06 16:56:56,,129.22,3.493,13.0,438141835.0,-52900335.0,3.493,18.0,21.799999999999955,0.0,0.0,21.799999999999955,0.97
5,107,2023-04-06 16:56:57,,132.54,3.432,13.0,438142118.0,-52900106.0,3.432,18.0,22.0,0.0,0.0,22.0,1.4
5,107,2023-04-06 16:56:58,,135.2,3.284,13.0,438142409.0,-52900053.0,3.284,18.0,22.0,1.0,0.0,22.0,1.85
5,108,2023-04-06 16:56:59,,137.16,2.671,14.0,438142538.0,-52900203.0,2.671,18.0,22.200000000000045,1.0,0.0,22.200000000000045,2.17
5,108,2023-04-06 16:57:00,,140.68,2.715,14.0,438142620.0,-52900666.0,2.715,18.0,22.200000000000045,1.0,0.0,22.200000000000045,2.37
5,109,2023-04-06 16:57:01,,144.93,3.036,14.0,438142680.0,-52901227.0,3.036,18.0,22.200000000000045,1.0,0.0,22.200000000000045,2.48
5,110,2023-04-06 16:57:02,,150.54,3.108,14.0,438142838.0,-52901952.0,3.108,18.0,22.399999999999977,1.0,0.0,22.399999999999977,2.53
5,110,2023-04-06 16:57:03,,157.32,3.731,13.0,438143099.0,-52902783.0,3.731,18.0,22.399999999999977,1.0,0.0,22.399999999999977,2.51
6,111,2023-04-06 16:57:04,,163.79,4.217,12.0,438143499.0,-52903486.0,4.217,18.0,22.399999999999977,1.0,0.0,22.399999999999977,2.38
6,111,2023-04-06 16:57:05,,169.47,4.716,13.0,438143874.0,-52904109.0,4.716,18.0,22.399999999999977,1.0,0.0,22.399999999999977,2.2
6,110,2023-04-06 16:57:06,,172.76,4.995,14.0,438144031.0,-52904502.0,4.995,18.0,22.600000000000023,1.0,0.0,22.600000000000023,1.97
6,109,2023-04-06 16:57:07,,175.11,4.79,15.0,438144094.0,-52904796.0,4.79,18.0,22.600000000000023,1.0,0.0,22.600000000000023,1.74
6,112,2023-04-06 16:57:08,,178.07,4.613,18.0,438144241.0,-52905154.0,4.613,18.0,22.600000000000023,1.0,0.0,22.600000000000023,1.47
6,112,2023-04-06 16:57:09,,181.79,4.389,18.0,438144412.0,-52905603.0,4.389,18.0,22.600000000000023,1.0,0.0,22.600000000000023,1.23
7,113,2023-04-06 16:57:10,,185.75,4.284,19.0,438144538.0,-52906107.0,4.284,18.0,22.799999999999955,1.0,0.0,22.799999999999955,1.04
7,112,2023-04-06 16:57:11,,189.62,4.207,18.0,438144633.0,-52906608.0,4.207,18.0,22.799999999999955,2.0,0.0,22.799999999999955,0.97
7,111,2023-04-06 16:57:12,,192.94,4.147,18.0,438144748.0,-52907026.0,4.147,18.0,22.799999999999955,2.0,0.0,22.799999999999955,0.99
7,113,2023-04-06 16:57:13,,197.49,4.063,17.0,438144842.0,-52907625.0,4.063,18.0,22.799999999999955,2.0,0.0,22.799999999999955,1.03
7,115,2023-04-06 16:57:14,,201.54,4.062,17.0,438144842.0,-52908163.0,4.062,18.0,23.0,2.0,0.0,23.0,1.06
7,113,2023-04-06 16:57:15,,205.7,4.12,16.0,438144867.0,-52908718.0,4.12,18.0,23.0,2.0,0.0,23.0,1.06
7,113,2023-04-06 16:57:16,,209.54,4.164,16.0,438144986.0,-52909212.0,4.164,18.0,23.0,2.0,0.0,23.0,1.01
8,112,2023-04-06 16:57:17,,214.1,4.198,16.0,438145049.0,-52909813.0,4.198,18.0,23.0,2.0,0.0,23.0,0.94
8,111,2023-04-06 16:57:18,,217.53,4.224,15.0,438145204.0,-52910233.0,4.224,18.0,23.0,2.0,0.0,23.0,0.83
8,109,2023-04-06 16:57:19,,222.28,4.242,15.0,438145411.0,-52910805.0,4.242,18.0,23.0,2.0,0.0,23.0,0.73
8,108,2023-04-06 16:57:20,,226.35,4.216,14.0,438145541.0,-52911317.0,4.216,18.0,23.200000000000045,2.0,0.0,23.200000000000045,0.69
8,106,2023-04-06 16:57:21,,229.99,4.175,14.0,438145591.0,-52911787.0,4.175,18.0,23.200000000000045,2.0,0.0,23.200000000000045,0.73
8,105,2023-04-06 16:57:22,,233.97,4.109,14.0,438145494.0,-52912291.0,4.109,18.0,23.200000000000045,2.0,0.0,23.200000000000045,0.85
9,106,2023-04-06 16:57:23,,237.42,4.142,14.0,438145639.0,-52912705.0,4.142,18.0,23.399999999999977,2.0,0.0,23.399999999999977,0.94
9,107,2023-04-06 16:57:24,,241.59,4.333,14.0,438145957.0,-52913117.0,4.333,18.0,23.399999999999977,2.0,0.0,23.399999999999977,1.01
9,107,2023-04-06 16:57:25,,244.72,4.185,15.0,438146098.0,-52913489.0,4.185,18.0,23.399999999999977,2.0,0.0,23.399999999999977,1.09
9,107,2023-04-06 16:57:26,,248.02,3.438,16.0,438146207.0,-52913910.0,3.438,18.0,23.600000000000023,2.0,0.0,23.600000000000023,1.16
9,107,2023-04-06 16:57:27,,251.29,3.292,17.0,438146207.0,-52914341.0,3.292,18.0,23.600000000000023,2.0,0.0,23.600000000000023,1.24
9,105,2023-04-06 16:57:28,,254.54,3.255,17.0,438146162.0,-52914758.0,3.255,18.0,23.600000000000023,2.0,0.0,23.600000000000023,1.31
9,103,2023-04-06 16:57:29,,257.63,3.129,17.0,438145997.0,-52915088.0,3.129,18.0,23.799999999999955,2.0,0.0,23.799999999999955,1.4
9,101,2023-04-06 16:57:30,,260.41,2.968,17.0,438146085.0,-52915445.0,2.968,18.0,23.799999999999955,3.0,0.0,23.799999999999955,1.51
10,100,2023-04-06 16:57:31,,262.42,2.869,21.0,438146194.0,-52915669.0,2.869,18.0,23.799999999999955,3.0,0.0,23.799999999999955,1.64
10,100,2023-04-06 16:57:32,,265.02,2.513,20.0,438146368.0,-52915939.0,2.513,18.0,24.0,3.0,0.0,24.0,1.79
10,99,2023-04-06 16:57:33,,268.02,2.463,19.0,438146495.0,-52916305.0,2.463,18.0,24.0,3.0,0.0,24.0,1.95
10,98,2023-04-06 16:57:34,,269.41,2.402,19.0,438146605.0,-52916400.0,2.402,18.0,24.200000000000045,3.0,0.0,24.200000000000045,2.13
10,99,2023-04-06 16:57:35,,271.11,2.151,19.0,438146790.0,-52916387.0,2.151,18.0,24.200000000000045,3.0,0.0,24.200000000000045,2.33
10,101,2023-04-06 16:57:36,,273.24,2.022,20.0,438147016.0,-52916314.0,2.022,18.0,24.399999999999977,3.0,0.0,24.399999999999977,2.53
10,100,2023-04-06 16:57:37,,275.08,1.977,22.0,438147203.0,-52916290.0,1.977,18.0,24.399999999999977,3.0,0.0,24.399999999999977,2.75
10,100,2023-04-06 16:57:38,,276.89,1.937,22.0,438147412.0,-52916291.0,1.937,18.0,24.600000000000023,3.0,0.0,24.600000000000023,3.02
11,101,2023-04-06 16:57:39,,278.81,1.904,21.0,438147574.0,-52916214.0,1.904,18.0,24.600000000000023,3.0,0.0,24.600000000000023,3.34
11,101,2023-04-06 16:57:40,,281.58,1.958,21.0,438147886.0,-52916170.0,1.958,18.0,24.799999999999955,3.0,0.0,24.799999999999955,3.69
11,102,2023-04-06 16:57:41,,286.29,2.431,20.0,438148411.0,-52916178.0,2.431,18.0,24.799999999999955,4.0,0.0,24.799999999999955,3.99
11,103,2023-04-06 16:57:42,,290.16,2.839,19.0,438148799.0,-52916123.0,2.839,18.0,25.0,4.0,0.0,25.0,4.25
11,105,2023-04-06 16:57:43,,292.86,3.063,19.0,438149068.0,-52916001.0,3.063,18.0,25.200000000000045,4.0,0.0,25.200000000000045,4.48
11,106,2023-04-06 16:57:44,,295.07,2.817,19.0,438149307.0,-52915981.0,2.817,18.0,25.200000000000045,4.0,0.0,25.200000000000045,4.65
11,106,2023-04-06 16:57:45,,298.27,2.677,18.0,438149631.0,-52916066.0,2.677,18.0,25.399999999999977,4.0,0.0,25.399999999999977,4.62
12,106,2023-04-06 16:57:46,,301.32,2.831,18.0,438149970.0,-52916174.0,2.831,18.0,25.399999999999977,4.0,0.0,25.399999999999977,4.39
12,106,2023-04-06 16:57:47,,302.93,2.855,17.0,438150138.0,-52916192.0,2.855,18.0,25.600000000000023,4.0,0.0,25.600000000000023,4.06
12,106,2023-04-06 16:57:48,,304.07,2.48,17.0,438150227.0,-52916102.0,2.48,18.0,25.600000000000023,4.0,0.0,25.600000000000023,3.74
12,104,2023-04-06 16:57:49,,305.73,2.237,17.0,438150303.0,-52915915.0,2.237,18.0,25.799999999999955,4.0,0.0,25.799999999999955,3.53
12,104,2023-04-06 16:57:50,,307.87,2.051,16.0,438150321.0,-52915645.0,2.051,18.0,25.799999999999955,5.0,0.0,25.799999999999955,3.38
12,103,2023-04-06 16:57:51,,308.82,1.931,16.0,438150428.0,-52915623.0,1.931,18.0,26.0,5.0,0.0,26.0,3.29
12,103,2023-04-06 16:57:52,,310.49,1.896,16.0,438150591.0,-52915612.0,1.896,18.0,26.0,5.0,0.0,26.0,3.22
13,103,2023-04-06 16:57:53,,311.48,1.84,16.0,438150693.0,-52915619.0,1.84,18.0,26.0,5.0,0.0,26.0,3.19
13,102,2023-04-06 16:57:54,,312.71,1.686,16.0,438150830.0,-52915579.0,1.686,18.0,26.200000000000045,5.0,0.0,26.200000000000045,3.2
13,103,2023-04-06 16:57:55,,314.13,1.621,15.0,438150965.0,-52915547.0,1.621,18.0,26.200000000000045,5.0,0.0,26.200000000000045,3.22
13,103,2023-04-06 16:57:56,,315.22,1.491,15.0,438151092.0,-52915551.0,1.491,18.0,26.200000000000045,5.0,0.0,26.200000000000045,3.19
13,102,2023-04-06 16:57:57,,316.51,1.406,15.0,438151212.0,-52915573.0,1.406,18.0,26.200000000000045,5.0,0.0,26.200000000000045,3.09
13,101,2023-04-06 16:57:58,,318.32,1.462,14.0,438151429.0,-52915587.0,1.462,18.0,26.399999999999977,5.0,0.0,26.399999999999977,2.97
13,103,2023-04-06 16:57:59,,320.11,1.953,14.0,438151621.0,-52915594.0,1.953,18.0,26.399999999999977,5.0,0.0,26.399999999999977,2.94
13,104,2023-04-06 16:58:00,,322.18,1.94,14.0,438151829.0,-52915631.0,1.94,18.0,26.399999999999977,5.0,0.0,26.399999999999977,3.04
14,104,2023-04-06 16:58:01,,323.4,1.557,13.0,438151950.0,-52915649.0,1.557,18.0,26.600000000000023,5.0,0.0,26.600000000000023,3.27
14,105,2023-04-06 16:58:02,,323.4,0.0,14.0,438151987.0,-52915649.0,0.0,18.0,26.600000000000023,5.0,0.0,26.600000000000023,3.51
14,105,2023-04-06 16:58:03,,323.4,0.0,14.0,438151987.0,-52915649.0,0.0,18.0,26.799999999999955,5.0,0.0,26.799999999999955,2.85
14,106,2023-04-06 16:58:04,,323.4,0.0,15.0,438151987.0,-52915649.0,0.0,18.0,26.799999999999955,5.0,0.0,26.799999999999955,0.0
14,105,2023-04-06 16:58:05,,323.4,0.0,15.0,438151987.0,-52915649.0,0.0,18.0,26.799999999999955,5.0,0.0,26.799999999999955,0.0
14,102,2023-04-06 16:58:06,,323.4,0.0,15.0,438151987.0,-52915649.0,0.0,18.0,26.799999999999955,5.0,0.0,26.799999999999955,0.0
15,73,2023-04-06 16:58:54,,323.82,1.224,13.0,438152211.0,-52915835.0,1.224,18.0,26.799999999999955,5.0,0.0,26.799999999999955,0.0
15,74,2023-04-06 16:58:55,,326.49,1.348,13.0,438152479.0,-52915996.0,1.348,18.0,26.799999999999955,5.0,0.0,26.799999999999955,0.0
15,75,2023-04-06 16:58:56,,329.08,1.806,13.0,438152751.0,-52916102.0,1.806,18.0,26.799999999999955,5.0,0.0,26.799999999999955,0.0
15,79,2023-04-06 16:58:57,,331.83,1.839,12.0,438152974.0,-52916324.0,1.839,18.0,26.799999999999955,5.0,0.0,26.799999999999955,0.0
15,82,2023-04-06 16:58:58,,333.94,2.019,12.0,438153161.0,-52916460.0,2.019,18.0,26.799999999999955,5.0,0.0,26.799999999999955,0.0
15,85,2023-04-06 16:58:59,,336.81,2.139,12.0,438153412.0,-52916726.0,2.139,18.0,26.799999999999955,5.0,0.0,26.799999999999955,0.0
15,87,2023-04-06 16:59:00,,338.6,2.092,12.0,438153502.0,-52916926.0,2.092,18.0,26.600000000000023,5.0,0.0,26.600000000000023,0.0
15,84,2023-04-06 16:59:01,,342.19,1.904,12.0,438153593.0,-52917381.0,1.904,18.0,26.600000000000023,5.0,0.0,26.600000000000023,0.0
15,85,2023-04-06 16:59:02,,345.75,2.565,13.0,438153683.0,-52917844.0,2.565,18.0,26.600000000000023,5.0,0.0,26.600000000000023,0.0
15,91,2023-04-06 16:59:03,,349.36,2.974,13.0,438153771.0,-52918315.0,2.974,18.0,26.600000000000023,5.0,0.0,26.600000000000023,0.0
15,91,2023-04-06 16:59:04,,353.0,3.425,13.0,438153875.0,-52918781.0,3.425,18.0,26.600000000000023,5.0,0.0,26.600000000000023,0.0
15,93,2023-04-06 16:59:05,,356.62,3.444,12.0,438154002.0,-52919243.0,3.444,18.0,26.600000000000023,5.0,0.0,26.600000000000023,0.0
16,94,2023-04-06 16:59:06,,360.97,3.564,12.0,438154099.0,-52919815.0,3.564,18.0,26.600000000000023,5.0,0.0,26.600000000000023,0.0
16,94,2023-04-06 16:59:07,,365.13,3.611,12.0,438154246.0,-52920332.0,3.611,18.0,26.600000000000023,5.0,0.0,26.600000000000023,0.0
16,94,2023-04-06 16:59:08,,368.7,3.861,12.0,438154412.0,-52920765.0,3.861,18.0,26.600000000000023,5.0,0.0,26.600000000000023,0.0
16,94,2023-04-06 16:59:09,,372.7,3.866,12.0,438154508.0,-52921281.0,3.866,18.0,26.600000000000023,5.0,0.0,26.600000000000023,0.0
16,94,2023-04-06 16:59:10,,377.71,3.915,12.0,438154647.0,-52921926.0,3.915,18.0,26.799999999999955,5.0,0.0,26.799999999999955,0.0
16,94,2023-04-06 16:59:11,,382.4,4.059,12.0,438154810.0,-52922526.0,4.059,18.0,26.799999999999955,5.0,0.0,26.799999999999955,0.0
16,85,2023-04-06 16:59:12,,387.07,4.196,12.0,438154975.0,-52923120.0,4.196,18.0,27.0,5.0,0.0,27.0,0.0
16,88,2023-04-06 16:59:13,,391.63,4.308,12.0,438155142.0,-52923695.0,4.308,18.0,27.200000000000045,5.0,0.0,27.200000000000045,0.0
16,89,2023-04-06 16:59:14,,396.31,4.475,13.0,438155257.0,-52924300.0,4.475,18.0,27.399999999999977,5.0,0.0,27.399999999999977,0.0
16,87,2023-04-06 16:59:15,,401.03,4.657,13.0,438155369.0,-52924911.0,4.657,18.0,27.399999999999977,5.0,0.0,27.399999999999977,0.0
17,95,2023-04-06 16:59:16,,405.96,4.883,13.0,438155468.0,-52925554.0,4.883,18.0,27.600000000000023,5.0,0.0,27.600000000000023,0.35
17,97,2023-04-06 16:59:17,,410.72,4.887,13.0,438155590.0,-52926180.0,4.887,18.0,27.600000000000023,5.0,0.0,27.600000000000023,2.65
17,98,2023-04-06 16:59:18,,414.97,4.851,13.0,438155635.0,-52926743.0,4.851,18.0,27.799999999999955,6.0,0.0,27.799999999999955,2.59
17,100,2023-04-06 16:59:19,,419.51,4.591,13.0,438155681.0,-52927346.0,4.591,18.0,27.799999999999955,6.0,0.0,27.799999999999955,2.44
17,101,2023-04-06 16:59:20,,423.6,4.233,13.0,438155723.0,-52927892.0,4.233,18.0,28.0,6.0,0.0,28.0,2.27
17,103,2023-04-06 16:59:21,,427.19,4.132,12.0,438155745.0,-52928370.0,4.132,18.0,28.0,6.0,0.0,28.0,2.13
17,104,2023-04-06 16:59:22,,430.8,4.057,12.0,438155775.0,-52928850.0,4.057,18.0,28.200000000000045,6.0,0.0,28.200000000000045,2.06
17,102,2023-04-06 16:59:23,,434.57,4.118,12.0,438155844.0,-52929340.0,4.118,18.0,28.399999999999977,6.0,0.0,28.399999999999977,2.06
18,103,2023-04-06 16:59:24,,438.49,4.17,12.0,438155924.0,-52929852.0,4.17,18.0,28.399999999999977,6.0,0.0,28.399999999999977,2.12
18,103,2023-04-06 16:59:25,,443.15,4.184,12.0,438156051.0,-52930459.0,4.184,18.0,28.600000000000023,6.0,0.0,28.600000000000023,2.2
18,103,2023-04-06 16:59:26,,447.41,4.244,12.0,438156137.0,-52931017.0,4.244,18.0,28.600000000000023,6.0,0.0,28.600000000000023,2.3
18,103,2023-04-06 16:59:27,,451.51,4.188,12.0,438156181.0,-52931560.0,4.188,18.0,28.799999999999955,7.0,0.0,28.799999999999955,2.4
18,103,2023-04-06 16:59:28,,455.02,4.125,12.0,438156213.0,-52932028.0,4.125,18.0,29.0,7.0,0.0,29.0,2.48
18,103,2023-04-06 16:59:29,,458.85,3.814,12.0,438156156.0,-52932530.0,3.814,18.0,29.200000000000045,7.0,0.0,29.200000000000045,2.56
18,103,2023-04-06 16:59:30,,463.53,3.814,13.0,438156025.0,-52933130.0,3.814,18.0,29.200000000000045,7.0,0.0,29.200000000000045,2.68
19,103,2023-04-06 16:59:31,,467.08,3.814,13.0,438155934.0,-52933597.0,3.814,18.0,29.399999999999977,7.0,0.0,29.399999999999977,2.82
19,103,2023-04-06 16:59:32,,470.64,3.819,13.0,438155837.0,-52934061.0,3.819,18.0,29.600000000000023,7.0,0.0,29.600000000000023,2.97
19,103,2023-04-06 16:59:33,,474.09,3.846,13.0,438155712.0,-52934499.0,3.846,18.0,29.600000000000023,7.0,0.0,29.600000000000023,3.07
19,103,2023-04-06 16:59:34,,476.88,3.814,13.0,438155694.0,-52934861.0,3.814,18.0,29.600000000000023,8.0,0.0,29.600000000000023,3.04
19,103,2023-04-06 16:59:35,,480.31,3.834,13.0,438155841.0,-52935279.0,3.834,18.0,29.600000000000023,8.0,0.0,29.600000000000023,2.85
19,103,2023-04-06 16:59:36,,484.59,3.964,13.0,438156078.0,-52935776.0,3.964,18.0,29.600000000000023,8.0,0.0,29.600000000000023,2.55
19,103,2023-04-06 16:59:37,,489.53,3.964,12.0,438156348.0,-52936351.0,3.964,18.0,29.600000000000023,8.0,0.0,29.600000000000023,2.13
19,103,2023-04-06 16:59:38,,494.8,3.987,12.0,438156596.0,-52936977.0,3.987,18.0,29.600000000000023,8.0,0.0,29.600000000000023,1.63
20,103,2023-04-06 16:59:39,,499.76,4.201,12.0,438156700.0,-52937619.0,4.201,18.0,29.600000000000023,8.0,0.0,29.600000000000023,1.17
20,103,2023-04-06 16:59:40,,504.24,4.632,12.0,438156882.0,-52938179.0,4.632,18.0,29.600000000000023,8.0,0.0,29.600000000000023,0.7
20,103,2023-04-06 16:59:41,,508.3,4.632,12.0,438157071.0,-52938661.0,4.632,18.0,29.799999999999955,8.0,0.0,29.799999999999955,0.04
20,103,2023-04-06 16:59:42,,513.27,4.974,12.0,438157292.0,-52939270.0,4.974,18.0,29.799999999999955,8.0,0.0,29.799999999999955,0.34
20,103,2023-04-06 16:59:43,,517.81,5.08,12.0,438157473.0,-52939842.0,5.08,18.0,29.799999999999955,8.0,0.0,29.799999999999955,0.29
20,103,2023-04-06 16:59:44,,523.51,5.445,12.0,438157666.0,-52940565.0,5.445,18.0,29.799999999999955,8.0,0.0,29.799999999999955,0.0
20,103,2023-04-06 16:59:45,,529.76,5.473,11.0,438157896.0,-52941343.0,5.473,18.0,30.0,8.0,0.0,30.0,0.0
21,103,2023-04-06 16:59:46,,535.01,5.28,11.0,438158123.0,-52941972.0,5.28,18.0,30.0,8.0,0.0,30.0,0.0
21,103,2023-04-06 16:59:47,,539.87,4.942,11.0,438158350.0,-52942571.0,4.942,18.0,30.0,8.0,0.0,30.0,0.0
21,103,2023-04-06 16:59:48,,544.86,4.942,12.0,438158575.0,-52943177.0,4.942,18.0,30.0,8.0,0.0,30.0,0.0
21,103,2023-04-06 16:59:49,,549.87,4.949,13.0,438158803.0,-52943766.0,4.949,18.0,30.0,8.0,0.0,30.0,0.0
21,103,2023-04-06 16:59:50,,555.3,4.965,13.0,438159054.0,-52944414.0,4.965,18.0,30.0,8.0,0.0,30.0,0.0
21,103,2023-04-06 16:59:51,,560.47,5.061,12.0,438159162.0,-52945091.0,5.061,18.0,30.0,8.0,0.0,30.0,0.0
21,103,2023-04-06 16:59:52,,566.21,5.104,12.0,438159384.0,-52945798.0,5.104,18.0,30.0,8.0,0.0,30.0,0.0
21,103,2023-04-06 16:59:53,,571.54,5.289,12.0,438159560.0,-52946477.0,5.289,18.0,30.0,8.0,0.0,30.0,0.0
22,103,2023-04-06 16:59:54,,576.77,5.217,12.0,438159704.0,-52947154.0,5.217,18.0,30.0,8.0,0.0,30.0,0.0
22,103,2023-04-06 16:59:55,,581.8,5.133,12.0,438159879.0,-52947799.0,5.133,18.0,30.200000000000045,8.0,0.0,30.200000000000045,0.0
22,103,2023-04-06 16:59:56,,586.22,5.073,12.0,438160003.0,-52948358.0,5.073,18.0,30.200000000000045,8.0,0.0,30.200000000000045,0.0
22,103,2023-04-06 16:59:57,,589.89,4.758,12.0,438160049.0,-52948847.0,4.758,18.0,30.399999999999977,8.0,0.0,30.399999999999977,0.0
22,103,2023-04-06 16:59:58,,595.19,4.819,12.0,438160100.0,-52949555.0,4.819,18.0,30.399999999999977,8.0,0.0,30.399999999999977,0.0
22,103,2023-04-06 16:59:59,,601.25,5.213,11.0,438160168.0,-52950354.0,5.213,18.0,30.399999999999977,8.0,0.0,30.399999999999977,0.0
22,103,2023-04-06 17:00:00,,606.12,5.056,11.0,438160094.0,-52950996.0,5.056,18.0,30.600000000000023,8.0,0.0,30.600000000000023,0.0
23,103,2023-04-06 17:00:01,,608.18,4.872,11.0,438160134.0,-52951269.0,4.872,18.0,30.799999999999955,8.0,0.0,30.799999999999955,0.0
23,103,2023-04-06 17:00:02,,610.0,3.578,12.0,438160145.0,-52951506.0,3.578,18.0,30.799999999999955,8.0,0.0,30.799999999999955,0.16
23,103,2023-04-06 17:00:03,,611.8,3.251,13.0,438160236.0,-52951729.0,3.251,18.0,31.0,8.0,0.0,31.0,1.61
23,103,2023-04-06 17:00:04,,613.65,2.5,15.0,438160326.0,-52951956.0,2.5,18.0,31.0,8.0,0.0,31.0,1.78
23,103,2023-04-06 17:00:05,,615.47,2.345,16.0,438160418.0,-52952151.0,2.345,18.0,31.200000000000045,9.0,0.0,31.200000000000045,1.97
