cadence,calories,heart_rate,power,timestamp,battery_soc,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,temperature,left_right_balance,altitude,ascent,descent,enhanced_altitude,grade
0,2,102,0,2024-02-13 15:09:05,,193.38,6.054,21.0,438116248.0,-52881665.0,6.054,18.0,,,,,,
0,2,98,0,2024-02-13 15:09:06,,196.26,4.374,21.0,438115939.0,-52881689.0,4.374,18.0,,,,,,
0,2,89,0,2024-02-13 15:09:07,,197.09,3.909,21.0,438115851.0,-52881746.0,3.909,18.0,,,,,,
0,2,108,0,2024-02-13 15:09:18,,197.18,0.96,17.0,438115758.0,-52881795.0,0.96,18.0,,15.399999999999977,0.0,0.0,15.399999999999977,0.0
0,2,107,0,2024-02-13 15:09:19,,199.05,1.436,17.0,438115713.0,-52882034.0,1.436,18.0,,15.399999999999977,0.0,0.0,15.399999999999977,0.0
57,2,106,28,2024-02-13 15:09:20,,200.78,1.439,16.0,438115660.0,-52882247.0,1.439,18.0,167.0,15.399999999999977,0.0,0.0,15.399999999999977,0.0
82,2,107,162,2024-02-13 15:09:21,,202.51,1.519,15.0,438115476.0,-52882296.0,1.519,18.0,167.0,15.399999999999977,0.0,0.0,15.399999999999977,0.0
80,2,110,220,2024-02-13 15:09:22,,204.59,1.904,15.0,438115242.0,-52882194.0,1.904,18.0,179.0,15.200000000000045,0.0,0.0,15.200000000000045,0.0
82,2,116,233,2024-02-13 15:09:23,,207.89,2.518,14.0,438114917.0,-52882013.0,2.518,18.0,174.0,15.200000000000045,0.0,0.0,15.200000000000045,0.0
92,3,119,252,2024-02-13 15:09:24,,212.79,3.064,14.0,438114412.0,-52881819.0,3.064,18.0,165.0,15.200000000000045,0.0,0.0,15.200000000000045,0.0
86,3,119,239,2024-02-13 15:09:25,,218.25,3.774,14.0,438113859.0,-52881745.0,3.774,18.0,175.0,15.0,0.0,0.0,15.0,0.0
89,3,118,231,2024-02-13 15:09:26,,224.68,4.714,14.0,438113179.0,-52881767.0,4.714,18.0,164.0,15.0,0.0,0.0,15.0,-0.89
93,3,119,203,2024-02-13 15:09:27,,230.44,4.714,15.0,438112540.0,-52881783.0,4.714,18.0,162.0,15.0,0.0,0.0,15.0,-1.99
87,3,119,176,2024-02-13 15:09:28,,236.95,4.73,14.0,438111854.0,-52881775.0,4.73,18.0,186.0,14.799999999999955,0.0,0.0,14.799999999999955,-1.98
89,4,118,163,2024-02-13 15:09:29,,243.72,5.046,13.0,438111124.0,-52881927.0,5.046,18.0,166.0,14.600000000000023,0.0,0.0,14.600000000000023,-1.95
88,4,118,152,2024-02-13 15:09:30,,250.75,5.397,13.0,438110352.0,-52881949.0,5.397,18.0,174.0,14.600000000000023,0.0,1.0,14.600000000000023,-1.93
92,4,117,130,2024-02-13 15:09:31,,258.23,5.383,12.0,438109574.0,-52882058.0,5.383,18.0,173.0,14.399999999999977,0.0,1.0,14.399999999999977,-1.96
91,4,117,117,2024-02-13 15:09:32,,266.19,5.179,13.0,438108712.0,-52881976.0,5.179,18.0,176.0,14.200000000000045,0.0,1.0,14.200000000000045,-2.04
95,4,117,123,2024-02-13 15:09:33,,273.45,6.527,15.0,438107939.0,-52881865.0,6.527,18.0,175.0,14.0,0.0,1.0,14.0,-2.15
95,4,117,126,2024-02-13 15:09:34,,280.99,5.437,15.0,438107125.0,-52881904.0,5.437,18.0,173.0,14.0,0.0,1.0,14.0,-2.27
89,4,117,121,2024-02-13 15:09:35,,287.9,5.137,16.0,438106401.0,-52881962.0,5.137,18.0,181.0,13.799999999999955,0.0,1.0,13.799999999999955,-2.36
85,5,117,124,2024-02-13 15:09:36,,296.11,5.91,15.0,438105764.0,-52882743.0,5.91,18.0,174.0,13.600000000000023,0.0,1.0,13.600000000000023,-2.42
87,5,117,149,2024-02-13 15:09:37,,304.71,7.561,15.0,438105172.0,-52883617.0,7.561,18.0,169.0,13.600000000000023,0.0,2.0,13.600000000000023,-2.4
90,5,117,155,2024-02-13 15:09:38,,311.17,7.825,14.0,438104594.0,-52884087.0,7.825,18.0,174.0,13.399999999999977,0.0,2.0,13.399999999999977,-2.31
86,5,117,163,2024-02-13 15:09:39,,314.95,7.549,13.0,438104280.0,-52884406.0,7.549,18.0,176.0,13.399999999999977,0.0,2.0,13.399999999999977,-2.18
85,5,117,184,2024-02-13 15:09:40,,318.46,7.316,13.0,438104043.0,-52884741.0,7.316,18.0,174.0,13.200000000000045,0.0,2.0,13.200000000000045,-1.98
85,5,117,219,2024-02-13 15:09:41,,322.5,6.664,17.0,438103616.0,-52884947.0,6.664,18.0,167.0,13.200000000000045,0.0,2.0,13.200000000000045,-1.73
93,6,117,209,2024-02-13 15:09:42,,329.45,6.213,20.0,438102866.0,-52884951.0,6.213,18.0,171.0,13.200000000000045,0.0,2.0,13.200000000000045,-1.46
97,6,117,164,2024-02-13 15:09:43,,348.36,6.467,19.0,438100878.0,-52884722.0,6.467,18.0,178.0,13.0,0.0,2.0,13.0,-1.21
97,6,117,134,2024-02-13 15:09:44,,357.16,6.05,19.0,438099923.0,-52884535.0,6.05,18.0,178.0,13.0,0.0,2.0,13.0,-0.63
95,6,117,126,2024-02-13 15:09:45,,365.64,6.317,19.0,438099047.0,-52884273.0,6.317,18.0,177.0,13.0,0.0,2.0,13.0,0.0
94,6,117,129,2024-02-13 15:09:46,,374.34,6.369,18.0,438098149.0,-52883964.0,6.369,18.0,164.0,13.0,0.0,2.0,13.0,0.0
94,6,117,146,2024-02-13 15:09:47,,382.27,6.35,18.0,438097285.0,-52883765.0,6.35,18.0,172.0,13.0,0.0,2.0,13.0,0.0
91,6,117,161,2024-02-13 15:09:48,,390.66,5.992,18.0,438096427.0,-52883591.0,5.992,18.0,169.0,13.0,0.0,2.0,13.0,0.0
94,7,117,171,2024-02-13 15:09:49,,399.71,5.992,17.0,438095506.0,-52883931.0,5.992,18.0,171.0,13.0,0.0,2.0,13.0,0.0
91,7,117,190,2024-02-13 15:09:50,,408.75,6.03,17.0,438094548.0,-52883539.0,6.03,18.0,171.0,13.0,0.0,2.0,13.0,0.0
95,7,117,184,2024-02-13 15:09:51,,417.81,6.701,17.0,438093598.0,-52883280.0,6.701,18.0,174.0,13.0,0.0,2.0,13.0,0.0
94,7,117,180,2024-02-13 15:09:52,,426.53,6.317,17.0,438092726.0,-52882955.0,6.317,18.0,172.0,13.0,0.0,2.0,13.0,0.0
92,7,117,175,2024-02-13 15:09:53,,436.54,6.369,17.0,438091725.0,-52882545.0,6.369,18.0,143.0,13.0,0.0,2.0,13.0,0.0
92,8,117,147,2024-02-13 15:09:54,,445.49,6.332,16.0,438090781.0,-52882945.0,6.332,18.0,143.0,13.0,0.0,2.0,13.0,0.0
0,8,117,0,2024-02-13 15:09:55,,452.32,5.657,16.0,438090061.0,-52883069.0,5.657,18.0,,13.0,0.0,2.0,13.0,0.0
0,8,117,0,2024-02-13 15:09:56,,458.92,5.53,16.0,438089376.0,-52883320.0,5.53,18.0,,13.0,0.0,2.0,13.0,0.0
0,8,117,0,2024-02-13 15:09:57,,466.94,7.125,16.0,438088650.0,-52883843.0,7.125,18.0,,13.0,0.0,2.0,13.0,0.0
0,8,117,0,2024-02-13 15:09:58,,473.63,6.759,15.0,438088066.0,-52884385.0,6.759,18.0,,13.0,0.0,2.0,13.0,0.0
0,8,117,0,2024-02-13 15:09:59,,480.66,6.683,15.0,438087585.0,-52885112.0,6.683,18.0,,13.0,0.0,2.0,13.0,0.0
0,8,116,0,2024-02-13 15:10:00,,482.02,6.592,14.0,438087498.0,-52885225.0,6.592,18.0,,13.0,0.0,2.0,13.0,0.0
0,8,115,0,2024-02-13 15:10:01,,482.02,4.843,15.0,438087498.0,-52885225.0,4.843,18.0,,13.0,0.0,2.0,13.0,0.0
0,8,116,0,2024-02-13 15:10:02,,482.02,0.0,17.0,438087498.0,-52885225.0,0.0,18.0,,13.0,0.0,2.0,13.0,0.0
0,8,117,0,2024-02-13 15:10:03,,482.02,0.0,17.0,438087498.0,-52885225.0,0.0,18.0,,13.0,0.0,2.0,13.0,0.0
0,8,117,0,2024-02-13 15:10:04,,482.02,0.0,16.0,438087498.0,-52885225.0,0.0,18.0,,13.0,0.0,2.0,13.0,0.0
0,8,118,0,2024-02-13 15:10:05,,482.02,0.0,16.0,438087498.0,-52885225.0,0.0,18.0,,13.0,0.0,2.0,13.0,0.0
0,8,117,0,2024-02-13 15:10:06,,482.02,0.0,16.0,438087498.0,-52885225.0,0.0,18.0,,12.799999999999955,0.0,2.0,12.799999999999955,0.0
0,8,92,0,2024-02-13 15:10:46,,482.08,1.056,14.0,438087401.0,-52885348.0,1.056,18.0,,12.799999999999955,0.0,2.0,12.799999999999955,0.0
8,8,92,50,2024-02-13 15:10:47,,483.54,1.092,14.0,438087260.0,-52885427.0,1.092,18.0,172.0,12.799999999999955,0.0,2.0,12.799999999999955,0.0
82,8,93,544,2024-02-13 15:10:48,,485.83,1.912,14.0,438087030.0,-52885477.0,1.912,18.0,172.0,12.799999999999955,0.0,2.0,12.799999999999955,0.0
102,9,94,708,2024-02-13 15:10:49,,488.53,2.391,14.0,438086753.0,-52885391.0,2.391,18.0,169.0,12.799999999999955,0.0,2.0,12.799999999999955,0.0
93,9,97,606,2024-02-13 15:10:50,,492.16,2.872,14.0,438086391.0,-52885149.0,2.872,18.0,194.0,12.799999999999955,0.0,2.0,12.799999999999955,0.0
100,10,97,413,2024-02-13 15:10:51,,496.19,3.278,14.0,438086068.0,-52884852.0,3.278,18.0,175.0,12.799999999999955,0.0,2.0,12.799999999999955,0.0
96,10,97,344,2024-02-13 15:10:52,,500.62,3.278,13.0,438085653.0,-52884542.0,3.278,18.0,152.0,12.799999999999955,0.0,2.0,12.799999999999955,0.0
91,10,97,286,2024-02-13 15:10:53,,506.23,3.368,12.0,438085049.0,-52884384.0,3.368,18.0,168.0,12.600000000000023,0.0,2.0,12.600000000000023,0.0
92,11,97,261,2024-02-13 15:10:54,,513.83,5.301,12.0,438084234.0,-52884274.0,5.301,18.0,180.0,12.399999999999977,0.0,2.0,12.399999999999977,-0.43
86,11,97,267,2024-02-13 15:10:55,,519.94,5.894,12.0,438083599.0,-52884346.0,5.894,18.0,174.0,12.399999999999977,0.0,3.0,12.399999999999977,-1.43
89,11,97,336,2024-02-13 15:10:56,,526.44,6.049,12.0,438082916.0,-52884256.0,6.049,18.0,171.0,12.200000000000045,0.0,3.0,12.200000000000045,-1.69
91,12,97,335,2024-02-13 15:10:57,,533.77,7.056,13.0,438082144.0,-52883916.0,7.056,18.0,176.0,12.0,0.0,3.0,12.0,-1.91
94,12,97,275,2024-02-13 15:10:58,,540.7,7.0,12.0,438081506.0,-52883521.0,7.0,18.0,179.0,12.0,0.0,3.0,12.0,-2.02
91,12,97,217,2024-02-13 15:10:59,,547.05,5.869,12.0,438080870.0,-52883209.0,5.869,18.0,180.0,11.800000000000011,0.0,3.0,11.800000000000011,-2.03
94,12,96,182,2024-02-13 15:11:00,,553.45,5.92,12.0,438080288.0,-52882698.0,5.92,18.0,175.0,11.800000000000011,0.0,3.0,11.800000000000011,-1.99
90,13,96,172,2024-02-13 15:11:01,,560.19,7.177,12.0,438079783.0,-52882048.0,7.177,18.0,177.0,11.600000000000023,0.0,3.0,11.600000000000023,-1.92
92,13,95,160,2024-02-13 15:11:02,,569.74,7.215,12.0,438079296.0,-52880926.0,7.215,18.0,172.0,11.399999999999977,0.0,3.0,11.399999999999977,-1.83
91,13,95,154,2024-02-13 15:11:03,,577.51,7.059,14.0,438079055.0,-52879946.0,7.059,18.0,170.0,11.199999999999989,0.0,4.0,11.199999999999989,-1.78
94,13,95,169,2024-02-13 15:11:04,,585.99,7.119,13.0,438078596.0,-52878971.0,7.119,18.0,177.0,11.199999999999989,0.0,4.0,11.199999999999989,-1.76
92,13,95,170,2024-02-13 15:11:05,,592.82,7.119,13.0,438078046.0,-52878333.0,7.119,18.0,177.0,11.0,0.0,4.0,11.0,-1.74
92,13,95,152,2024-02-13 15:11:06,,603.22,7.122,12.0,438077408.0,-52877224.0,7.122,18.0,177.0,11.0,0.0,4.0,11.0,-1.74
88,13,95,148,2024-02-13 15:11:07,,611.74,7.177,12.0,438076823.0,-52876338.0,7.177,18.0,163.0,10.800000000000011,0.0,4.0,10.800000000000011,-1.69
80,14,94,157,2024-02-13 15:11:08,,620.04,7.223,12.0,438076276.0,-52875468.0,7.223,18.0,174.0,10.800000000000011,0.0,4.0,10.800000000000011,-1.61
92,14,94,164,2024-02-13 15:11:09,,627.89,7.235,13.0,438075691.0,-52874674.0,7.235,18.0,172.0,10.600000000000023,0.0,4.0,10.600000000000023,-1.51
94,14,94,144,2024-02-13 15:11:10,,634.46,7.327,13.0,438075269.0,-52873977.0,7.327,18.0,172.0,10.399999999999977,0.0,4.0,10.399999999999977,-1.44
93,14,94,130,2024-02-13 15:11:11,,644.25,7.361,13.0,438074637.0,-52872933.0,7.361,18.0,172.0,10.399999999999977,0.0,4.0,10.399999999999977,-1.39
92,14,94,121,2024-02-13 15:11:12,,653.31,7.364,12.0,438074043.0,-52871977.0,7.364,18.0,176.0,10.199999999999989,0.0,5.0,10.199999999999989,-1.36
94,14,94,123,2024-02-13 15:11:13,,662.06,7.429,12.0,438073455.0,-52871069.0,7.429,18.0,174.0,10.199999999999989,0.0,5.0,10.199999999999989,-1.34
90,14,94,131,2024-02-13 15:11:14,,670.61,7.519,12.0,438072857.0,-52870207.0,7.519,18.0,171.0,10.0,0.0,5.0,10.0,-1.35
90,15,94,128,2024-02-13 15:11:15,,679.42,7.519,11.0,438072225.0,-52869313.0,7.519,18.0,182.0,10.0,0.0,5.0,10.0,-1.34
91,15,94,115,2024-02-13 15:11:16,,689.6,7.519,11.0,438071583.0,-52868244.0,7.519,18.0,157.0,10.0,0.0,5.0,10.0,-1.32
58,15,94,89,2024-02-13 15:11:17,,697.85,7.518,11.0,438070951.0,-52867429.0,7.518,18.0,153.0,9.800000000000011,0.0,5.0,9.800000000000011,-1.27
81,15,94,19,2024-02-13 15:11:18,,706.84,7.488,10.0,438070350.0,-52866512.0,7.488,18.0,151.0,9.800000000000011,0.0,5.0,9.800000000000011,-1.17
59,15,94,2,2024-02-13 15:11:19,,716.19,7.414,10.0,438069633.0,-52865644.0,7.414,18.0,,9.800000000000011,0.0,5.0,9.800000000000011,-1.07
0,15,94,0,2024-02-13 15:11:20,,723.44,7.143,10.0,438069093.0,-52864915.0,7.143,18.0,,9.600000000000023,0.0,5.0,9.600000000000023,-0.72
0,15,94,0,2024-02-13 15:11:21,,729.63,6.42,10.0,438068689.0,-52864263.0,6.42,18.0,,9.600000000000023,0.0,5.0,9.600000000000023,0.0
0,15,94,0,2024-02-13 15:11:22,,734.6,5.651,10.0,438068370.0,-52863753.0,5.651,18.0,,9.600000000000023,0.0,5.0,9.600000000000023,0.0
0,15,94,0,2024-02-13 15:11:23,,738.94,5.731,11.0,438068056.0,-52863299.0,5.731,18.0,,9.399999999999977,0.0,5.0,9.399999999999977,0.0
0,15,104,0,2024-02-13 15:11:24,,741.49,5.205,11.0,438067880.0,-52863028.0,5.205,18.0,,9.399999999999977,0.0,5.0,9.399999999999977,0.0
0,15,101,0,2024-02-13 15:12:00,,741.63,1.629,12.0,438067599.0,-52862724.0,1.629,18.0,,9.199999999999989,0.0,5.0,9.199999999999989,0.0
93,15,105,324,2024-02-13 15:12:01,,744.87,2.665,12.0,438067363.0,-52862413.0,2.665,18.0,153.0,9.199999999999989,0.0,5.0,9.199999999999989,0.0
93,16,108,645,2024-02-13 15:12:02,,748.82,3.583,12.0,438067047.0,-52862039.0,3.583,18.0,179.0,9.199999999999989,0.0,5.0,9.199999999999989,0.0
94,16,107,668,2024-02-13 15:12:03,,753.73,4.757,12.0,438066685.0,-52861581.0,4.757,18.0,171.0,9.199999999999989,0.0,5.0,9.199999999999989,0.0
96,17,108,562,2024-02-13 15:12:04,,759.43,5.377,11.0,438066312.0,-52860971.0,5.377,18.0,174.0,9.199999999999989,0.0,5.0,9.199999999999989,0.0
100,17,109,484,2024-02-13 15:12:05,,765.62,5.527,11.0,438065907.0,-52860318.0,5.527,18.0,175.0,9.199999999999989,0.0,5.0,9.199999999999989,0.0
99,18,110,398,2024-02-13 15:12:06,,772.32,6.152,10.0,438065455.0,-52859610.0,6.152,18.0,187.0,9.199999999999989,0.0,5.0,9.199999999999989,0.0
102,18,108,261,2024-02-13 15:12:07,,778.96,6.472,10.0,438065044.0,-52858906.0,6.472,18.0,180.0,9.199999999999989,0.0,5.0,9.199999999999989,0.0
96,18,106,246,2024-02-13 15:12:08,,785.58,6.472,10.0,438064639.0,-52858172.0,6.472,18.0,173.0,9.199999999999989,0.0,5.0,9.199999999999989,0.0
106,19,107,502,2024-02-13 15:12:09,,792.38,6.482,10.0,438064323.0,-52857367.0,6.482,18.0,177.0,9.199999999999989,0.0,5.0,9.199999999999989,0.0
0,19,106,0,2024-02-13 15:12:10,,799.55,6.844,14.0,438063952.0,-52856521.0,6.844,18.0,,9.199999999999989,0.0,5.0,9.199999999999989,0.0
0,19,107,0,2024-02-13 15:12:11,,806.59,7.103,16.0,438063545.0,-52855719.0,7.103,18.0,,9.199999999999989,0.0,5.0,9.199999999999989,0.0
0,19,107,0,2024-02-13 15:12:12,,813.64,7.098,17.0,438063236.0,-52854863.0,7.098,18.0,,9.199999999999989,0.0,5.0,9.199999999999989,0.0
0,19,107,0,2024-02-13 15:12:13,,820.18,6.964,20.0,438063151.0,-52853994.0,6.964,18.0,,9.199999999999989,0.0,5.0,9.199999999999989,0.0
0,19,95,0,2024-02-13 15:12:14,,826.46,6.108,20.0,438063195.0,-52853156.0,6.108,18.0,,9.0,0.0,5.0,9.0,0.0
0,19,68,0,2024-02-13 15:12:15,,831.87,5.819,19.0,438063191.0,-52852435.0,5.819,18.0,,9.0,0.0,5.0,9.0,0.0
0,19,74,0,2024-02-13 15:12:16,,835.77,4.351,18.0,438063104.0,-52851923.0,4.351,18.0,,9.0,0.0,5.0,9.0,0.0
0,19,80,0,2024-02-13 15:12:17,,838.28,2.661,17.0,438063104.0,-52851585.0,2.661,18.0,,9.0,0.0,5.0,9.0,0.0
0,19,81,0,2024-02-13 15:12:18,,840.52,2.147,17.0,438063104.0,-52851290.0,2.147,18.0,,9.0,0.0,5.0,9.0,0.0
43,19,83,11,2024-02-13 15:12:19,,842.57,2.134,19.0,438063104.0,-52851017.0,2.134,18.0,,9.0,0.0,5.0,9.0,0.0
43,19,83,20,2024-02-13 15:12:20,,844.04,1.936,19.0,438063102.0,-52850822.0,1.936,18.0,,9.0,0.0,5.0,9.0,0.0
0,19,83,0,2024-02-13 15:12:21,,844.5,0.723,18.0,438063058.0,-52850768.0,0.723,18.0,,9.0,0.0,5.0,9.0,0.0
0,19,83,0,2024-02-13 15:12:22,,844.5,0.0,17.0,438063058.0,-52850768.0,0.0,18.0,,9.0,0.0,5.0,9.0,0.0
0,19,100,0,2024-02-13 15:12:23,,844.5,0.0,18.0,438063058.0,-52850768.0,0.0,18.0,,9.0,0.0,5.0,9.0,0.0
0,19,138,0,2024-02-13 15:12:24,,844.5,0.0,17.0,438063058.0,-52850768.0,0.0,18.0,,8.800000000000011,0.0,5.0,8.800000000000011,0.0
0,19,137,0,2024-02-13 15:12:25,,844.5,0.0,16.0,438063058.0,-52850768.0,0.0,18.0,,8.800000000000011,0.0,5.0,8.800000000000011,0.0
0,19,137,0,2024-02-13 15:12:26,,844.5,0.0,17.0,438063058.0,-52850768.0,0.0,18.0,,8.800000000000011,0.0,5.0,8.800000000000011,0.0
82,19,136,64,2024-02-13 15:12:30,,844.61,1.418,19.0,438062914.0,-52850318.0,1.418,18.0,174.0,8.800000000000011,0.0,5.0,8.800000000000011,0.0
95,19,135,153,2024-02-13 15:12:31,,847.31,2.098,18.0,438062726.0,-52850043.0,2.098,18.0,159.0,9.0,0.0,5.0,9.0,0.0
100,19,134,184,2024-02-13 15:12:32,,850.21,2.394,17.0,438062445.0,-52849886.0,2.394,18.0,174.0,8.800000000000011,0.0,5.0,8.800000000000011,0.0
76,20,132,160,2024-02-13 15:12:33,,854.21,2.914,16.0,438061991.0,-52849768.0,2.914,18.0,166.0,8.800000000000011,0.0,5.0,8.800000000000011,0.0
80,20,132,116,2024-02-13 15:12:34,,858.71,3.825,15.0,438061532.0,-52849695.0,3.825,18.0,166.0,8.800000000000011,0.0,5.0,8.800000000000011,0.0
94,20,137,90,2024-02-13 15:12:35,,862.94,3.821,15.0,438061080.0,-52849734.0,3.821,18.0,163.0,8.800000000000011,0.0,5.0,8.800000000000011,0.0
0,20,139,0,2024-02-13 15:12:36,,867.19,3.738,14.0,438060627.0,-52849775.0,3.738,18.0,,8.800000000000011,0.0,5.0,8.800000000000011,0.0
0,20,134,0,2024-02-13 15:12:37,,871.51,3.65,14.0,438060170.0,-52849855.0,3.65,18.0,,8.800000000000011,0.0,5.0,8.800000000000011,0.0
0,20,131,0,2024-02-13 15:12:38,,875.76,3.481,13.0,438059719.0,-52849934.0,3.481,18.0,,8.800000000000011,0.0,5.0,8.800000000000011,0.0
0,20,127,0,2024-02-13 15:12:39,,879.47,3.481,13.0,438059311.0,-52849992.0,3.481,18.0,,8.800000000000011,0.0,5.0,8.800000000000011,0.0
0,20,125,0,2024-02-13 15:12:40,,882.8,3.422,13.0,438058953.0,-52850072.0,3.422,18.0,,8.800000000000011,0.0,5.0,8.800000000000011,0.0
