activity_id,date,distance_meters,elevation_gain,duration_seconds,hour_of_day,atl_start,ctl_start,watt_kg,avg_temperature,dh_extreme_pct,dh_pct,green_pct,yellow_pct,orange_pct,red_pct,black_pct
10952040929,2024-03-13,33104.9,175.79999999999993,6087.0,15,43.690018,32.574398,2.402173913043478,15.660115809791192,0.0010711069281839946,0.12538378696224095,0.8045193998567033,0.05676491264719303,0.008854142069084418,0.0025463850090955416,0.0008602665274987018
10937522317,2024-03-11,33469.9,253.19999999999996,7092.0,15,45.239376,32.139088,2.402173913043478,17.68367816091954,0.002920350367701681,0.15434920681342915,0.7444996514907302,0.07735697448117301,0.01295914744248934,0.004179618698699452,0.00373505070577717
10928381591,2024-03-10,19922.4,649.1999999999998,7394.0,7,27.0019,28.961866,2.3995656894679698,9.874271309279974,0.05082975466455547,0.30244368263696103,0.27486411155231405,0.03872825902576637,0.1719262186684583,0.11352094912750149,0.04768702432444322
10904942671,2024-03-06,34625.7,154.99999999999997,6581.0,17,33.68685,29.638996,2.294179139784946,10.644670050761421,0.0016939147613893933,0.08690096920378335,0.8387318448568191,0.05662155645672209,0.01118271406342216,0.003718408801740991,0.0011505918561229074
10896724321,2024-03-05,33927.7,171.2,6639.0,15,25.960512,28.329155,2.294179139784946,17.232739420935413,0.0005231997676402792,0.10319721087767832,0.8232524991424168,0.05029766387655908,0.01661760863143179,0.004403956303410755,0.0017078614008628683
10868819260,2024-03-01,31574.4,236.59999999999997,6576.0,15,34.146236,29.304493,2.3010752688172045,17.415881779798635,0.002065811963199131,0.14936986865671514,0.7395128636832471,0.07293466778982305,0.025790302148515423,0.006751034060636156,0.0035754516978638365
10848701756,2024-02-27,28365.6,213.6,5876.0,15,41.820637,29.811668,2.3010752688172045,15.437647915528855,0.003162429227965194,0.1590386374570773,0.7341810361105618,0.07889670334580492,0.016071365243048384,0.005300310883903389,0.0033495177316387394
10831839239,2024-02-25,26226.5,728.5999999999997,7869.0,6,29.238052,27.121235,2.3010752688172045,9.889621752591196,0.027127928617261002,0.2850990251884747,0.3121981496720482,0.06650325921476057,0.20120203190509514,0.06579186600899206,0.04207773939336855
10821662665,2024-02-23,28475.5,169.39999999999998,5602.0,16,27.69719,26.685013,2.2827310752688175,13.54024069198947,0.0009957269606040457,0.12914029199941882,0.7888302938603513,0.055173670907238126,0.018213352883227472,0.003791499919594519,0.003855163469565682
10801434961,2024-02-20,30304.6,142.59999999999997,5804.0,15,31.613813,26.950048,2.287303440860215,17.65136476426799,0.0010356608266659038,0.10211593272150514,0.8296925845272436,0.04680601636733641,0.015746767573403386,0.0025743486837610276,0.0020286893000845815
10794641440,2024-02-19,35078.4,174.40000000000003,6925.0,15,22.494173,25.40675,2.28959311827957,15.460924040720439,0.00198354526140245,0.10672420896191197,0.8153897589604442,0.05761817143176424,0.012805810671477945,0.0033651502951207155,0.002113354417878542
10754831022,2024-02-13,35506.2,178.2,7225.0,15,40.720478,27.380718,2.296475483870968,18.56579904027919,0.0015149047152360731,0.09771947670041163,0.8121205101847275,0.061093807309944174,0.019641798297509814,0.0046522328896891245,0.003257269902481719
10747954328,2024-02-12,30898.5,187.40000000000003,6561.0,15,36.377735,26.377892,2.296475483870968,22.32040917340373,0.002578909113914711,0.11955430136377097,0.7947495286272909,0.0678931404040894,0.009475228735085044,0.003959661700883617,0.0017892300549654054
10731687673,2024-02-10,41198.4,486.6,9904.0,6,27.830585,24.435608,2.272044893617021,10.061778537836682,0.0018354402959885737,0.1460564015487851,0.6951051000498173,0.08685098973544245,0.05380764033847022,0.009848165354363303,0.006496262677133139
10708924878,2024-02-06,29838.8,181.0,6643.0,15,39.914795,25.407421,2.272044893617021,20.793029045643152,0.0014455716123682207,0.11599408217124421,0.7867463513807473,0.0668137281615924,0.01998786022613911,0.005624497933550941,0.003387908514358024
10702143697,2024-02-05,28478.6,109.80000000000001,5860.0,15,36.369717,24.50162,2.272044893617021,13.624559450936747,0.0011411742031042429,0.0783739550979413,0.8678163794693292,0.036556877817328276,0.008885028175996703,0.003982462426578805,0.003244122809721344
10685631371,2024-02-03,40807.6,260.19999999999993,8219.0,7,33.041122,23.287066,2.3014247844827587,10.44934765924789,0.0001333164105555355,0.13784882740056045,0.7553298565485486,0.07808066652141579,0.021431552907113315,0.004451721865846455,0.0027240583459598984
10682033255,2024-02-02,25751.1,106.40000000000002,5212.0,16,28.440489,22.330173,2.289091318327974,12.457792207792208,0.0011271041713068904,0.08222258417426967,0.856948521336676,0.04008753897352183,0.013057449560970921,0.004380058526618673,0.0021767432566359942
10668741318,2024-01-31,29073.2,149.59999999999997,5916.0,15,28.78577,21.997622,2.2913826366559484,13.495926319518244,0.0004096631467380444,0.10191017226342677,0.8115510164630948,0.06888764977984059,0.01234544378794301,0.0020812040058894,0.0028148505530674914
10654826643,2024-01-29,38487.3,201.0,7904.0,15,24.484726,20.901897,2.2887700534759357,13.439161414086051,0.0005075180121185598,0.1054920122234698,0.817725056239162,0.05613344764978981,0.013679428838463775,0.0036739625564471685,0.002788574480548969
10621570886,2024-01-24,39547.4,191.39999999999998,7555.0,15,34.659107,21.134865,2.281449893390192,15.806846999154692,0.0005474351006575254,0.09391560850141463,0.8386292379582972,0.048156517322767434,0.01269444453734966,0.0032130232653964303,0.0028437333141171904
10608342936,2024-01-22,39540.7,200.39999999999998,8121.0,15,29.689844,19.587444,2.2741764080765146,12.758681979764834,0.0010933697276141912,0.1127199245606207,0.8169147722692232,0.05497939402346819,0.010148804449909033,0.002138551649815968,0.002005183319348481
10592736697,2024-01-20,41008.4,217.6,9201.0,7,24.305702,18.157316,2.2597676874340022,8.86244907740235,0.0010671065068238244,0.11720847652923144,0.7819211474532765,0.08321831314134169,0.01034511772886536,0.004251255366236644,0.001988583274224605
10577006854,2024-01-17,32134.6,119.0,6636.0,15,25.332714,17.622282,2.2717622080679405,18.44276812069531,0.0013892857381582197,0.08263625980917506,0.8625588187398845,0.038379778718939384,0.009380640097275614,0.0030355674271140432,0.0026196494694532453
10570768646,2024-01-16,30933.5,95.20000000000003,6586.0,15,18.780512,16.408419,2.2717622080679405,12.74461082771104,0.0003843228322997711,0.07728514699163405,0.8646661550376757,0.03785603105421983,0.013089596068091475,0.003445186022163055,0.00327356199391597
10559280769,2024-01-14,33382.2,112.99999999999999,6760.0,15,13.627647,15.425628,2.2645502645502646,11.95028589580686,0.00019063734338389186,0.06955291079669333,0.874746968848562,0.0365875830605695,0.009405339975025965,0.00299029003430047,0.006526269941464921
10544972626,2024-01-12,25110.8,139.2,6205.0,15,9.227707,14.780428,2.2645502645502646,10.869755244755245,0.00048401828573995043,0.09524396175755903,0.8085426992826656,0.07630035553327438,0.011139176978163924,0.003837252610045292,0.004452535552551948
10503740142,2024-01-06,22244.1,611.8000000000001,6963.0,8,4.5450597,14.351519,2.2061855670103094,7.986015084852294,0.0344329264427184,0.2663567482552809,0.3349998854165871,0.1001902584452634,0.19097718622652832,0.04749641659967003,0.025546578613951897
10415613275,2023-12-21,23733.3,680.2,7145.0,15,27.337395,18.283237,2.2061855670103094,11.75316646562123,0.031138983189157456,0.29081224871532935,0.2923117504871027,0.09656226216049406,0.17218605664883785,0.08519615674884695,0.031792542050231784
10400469416,2023-12-18,18932.3,553.5999999999998,5503.0,15,27.683079,17.396097,2.2061855670103094,10.56011673151751,0.0334915802303692,0.31900125850336036,0.28044574945203116,0.12593922938238936,0.17471929039219486,0.04398381879713887,0.022419073242516137
10388117261,2023-12-16,23681.8,759.0,7942.0,8,18.256845,15.328999,2.2061855670103094,14.139014084507043,0.04226557499396297,0.2558083834349186,0.2903428390804017,0.10645238324131755,0.18770461930881108,0.07519698378328851,0.04222921615729948
10374952891,2023-12-13,18987.0,596.8,6314.0,15,12.208211,13.982171,2.2061855670103094,10.865781710914455,0.0388617125250064,0.30753028878728794,0.30500798227368,0.08855094326287069,0.13100606959921537,0.08218895752113953,0.046854046030800074
10333158490,2023-12-05,23352.9,546.4000000000001,7718.0,15,21.235756,14.241416,2.2061855670103094,11.905305275637225,0.024847226315479344,0.2818207745295768,0.420846841116785,0.11211608903904775,0.08869728060885575,0.04493790499057951,0.02673388339967603
